Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts, Sales,COGS,Profit,Date,Month Number,Month Name,Year,
Government,Canada,Carretera,None,1618.5,US$3.00,US$20.00,"US$32,370.00", US$	-   ,"US$32,370.00","US$16,185.00","US$16,185.00",01/01/14,1,January,2014,
Government,Germany,Carretera,None,1321,US$3.00,US$20.00,"US$26,420.00", US$	-   ,"US$26,420.00","US$13,210.00","US$13,210.00",01/01/14,1,January,2014,
Midmarket,France,Carretera,None,2178,US$3.00,US$15.00,"US$32,670.00", US$	-   ,"US$32,670.00","US$21,780.00","US$10,890.00",06/01/14,6,June,2014,
Midmarket,Germany,Carretera,None,888,US$3.00,US$15.00,"US$13,320.00", US$	-   ,"US$13,320.00","US$8,880.00","US$4,440.00",06/01/14,6,June,2014,
Midmarket,Mexico,Carretera,None,2470,US$3.00,US$15.00,"US$37,050.00", US$	-   ,"US$37,050.00","US$24,700.00","US$12,350.00",06/01/14,6,June,2014,
Government,Germany,Carretera,None,1513,US$3.00,US$350.00,"US$529,550.00", US$	-   ,"US$529,550.00","US$393,380.00","US$136,170.00",12/01/14,12,December,2014,
Midmarket,Germany,Montana,None,921,US$5.00,US$15.00,"US$13,815.00", US$	-   ,"US$13,815.00","US$9,210.00","US$4,605.00",03/01/14,3,March,2014,
Channel Partners,Canada,Montana,None,2518,US$5.00,US$12.00,"US$30,216.00", US$	-   ,"US$30,216.00","US$7,554.00","US$22,662.00",06/01/14,6,June,2014,
Government,France,Montana,None,1899,US$5.00,US$20.00,"US$37,980.00", US$	-   ,"US$37,980.00","US$18,990.00","US$18,990.00",06/01/14,6,June,2014,
Channel Partners,Germany,Montana,None,1545,US$5.00,US$12.00,"US$18,540.00", US$	-   ,"US$18,540.00","US$4,635.00","US$13,905.00",06/01/14,6,June,2014,
Midmarket,Mexico,Montana,None,2470,US$5.00,US$15.00,"US$37,050.00", US$	-   ,"US$37,050.00","US$24,700.00","US$12,350.00",06/01/14,6,June,2014,
Enterprise,Canada,Montana,None,2665.5,US$5.00,US$125.00,"US$333,187.50", US$	-   ,"US$333,187.50","US$319,860.00","US$13,327.50",07/01/14,7,July,2014,
Small Business,Mexico,Montana,None,958,US$5.00,US$300.00,"US$287,400.00", US$	-   ,"US$287,400.00","US$239,500.00","US$47,900.00",08/01/14,8,August,2014,
Government,Germany,Montana,None,2146,US$5.00,US$7.00,"US$15,022.00", US$	-   ,"US$15,022.00","US$10,730.00","US$4,292.00",09/01/14,9,September,2014,
Enterprise,Canada,Montana,None,345,US$5.00,US$125.00,"US$43,125.00", US$	-   ,"US$43,125.00","US$41,400.00","US$1,725.00",10/01/13,10,October,2013,
Midmarket,United States of America,Montana,None,615,US$5.00,US$15.00,"US$9,225.00", US$	-   ,"US$9,225.00","US$6,150.00","US$3,075.00",12/01/14,12,December,2014,
Government,Canada,Paseo,None,292,US$10.00,US$20.00,"US$5,840.00", US$	-   ,"US$5,840.00","US$2,920.00","US$2,920.00",02/01/14,2,February,2014,
Midmarket,Mexico,Paseo,None,974,US$10.00,US$15.00,"US$14,610.00", US$	-   ,"US$14,610.00","US$9,740.00","US$4,870.00",02/01/14,2,February,2014,
Channel Partners,Canada,Paseo,None,2518,US$10.00,US$12.00,"US$30,216.00", US$	-   ,"US$30,216.00","US$7,554.00","US$22,662.00",06/01/14,6,June,2014,
Government,Germany,Paseo,None,1006,US$10.00,US$350.00,"US$352,100.00", US$	-   ,"US$352,100.00","US$261,560.00","US$90,540.00",06/01/14,6,June,2014,
Channel Partners,Germany,Paseo,None,367,US$10.00,US$12.00,"US$4,404.00", US$	-   ,"US$4,404.00","US$1,101.00","US$3,303.00",07/01/14,7,July,2014,
Government,Mexico,Paseo,None,883,US$10.00,US$7.00,"US$6,181.00", US$	-   ,"US$6,181.00","US$4,415.00","US$1,766.00",08/01/14,8,August,2014,
Midmarket,France,Paseo,None,549,US$10.00,US$15.00,"US$8,235.00", US$	-   ,"US$8,235.00","US$5,490.00","US$2,745.00",09/01/13,9,September,2013,
Small Business,Mexico,Paseo,None,788,US$10.00,US$300.00,"US$236,400.00", US$	-   ,"US$236,400.00","US$197,000.00","US$39,400.00",09/01/13,9,September,2013,
Midmarket,Mexico,Paseo,None,2472,US$10.00,US$15.00,"US$37,080.00", US$	-   ,"US$37,080.00","US$24,720.00","US$12,360.00",09/01/14,9,September,2014,
Government,United States of America,Paseo,None,1143,US$10.00,US$7.00,"US$8,001.00", US$	-   ,"US$8,001.00","US$5,715.00","US$2,286.00",10/01/14,10,October,2014,
Government,Canada,Paseo,None,1725,US$10.00,US$350.00,"US$603,750.00", US$	-   ,"US$603,750.00","US$448,500.00","US$155,250.00",11/01/13,11,November,2013,
Channel Partners,United States of America,Paseo,None,912,US$10.00,US$12.00,"US$10,944.00", US$	-   ,"US$10,944.00","US$2,736.00","US$8,208.00",11/01/13,11,November,2013,
Midmarket,Canada,Paseo,None,2152,US$10.00,US$15.00,"US$32,280.00", US$	-   ,"US$32,280.00","US$21,520.00","US$10,760.00",12/01/13,12,December,2013,
Government,Canada,Paseo,None,1817,US$10.00,US$20.00,"US$36,340.00", US$	-   ,"US$36,340.00","US$18,170.00","US$18,170.00",12/01/14,12,December,2014,
Government,Germany,Paseo,None,1513,US$10.00,US$350.00,"US$529,550.00", US$	-   ,"US$529,550.00","US$393,380.00","US$136,170.00",12/01/14,12,December,2014,
Government,Mexico,Velo,None,1493,US$120.00,US$7.00,"US$10,451.00", US$	-   ,"US$10,451.00","US$7,465.00","US$2,986.00",01/01/14,1,January,2014,
Enterprise,France,Velo,None,1804,US$120.00,US$125.00,"US$225,500.00", US$	-   ,"US$225,500.00","US$216,480.00","US$9,020.00",02/01/14,2,February,2014,
Channel Partners,Germany,Velo,None,2161,US$120.00,US$12.00,"US$25,932.00", US$	-   ,"US$25,932.00","US$6,483.00","US$19,449.00",03/01/14,3,March,2014,
Government,Germany,Velo,None,1006,US$120.00,US$350.00,"US$352,100.00", US$	-   ,"US$352,100.00","US$261,560.00","US$90,540.00",06/01/14,6,June,2014,
Channel Partners,Germany,Velo,None,1545,US$120.00,US$12.00,"US$18,540.00", US$	-   ,"US$18,540.00","US$4,635.00","US$13,905.00",06/01/14,6,June,2014,
Enterprise,United States of America,Velo,None,2821,US$120.00,US$125.00,"US$352,625.00", US$	-   ,"US$352,625.00","US$338,520.00","US$14,105.00",08/01/14,8,August,2014,
Enterprise,Canada,Velo,None,345,US$120.00,US$125.00,"US$43,125.00", US$	-   ,"US$43,125.00","US$41,400.00","US$1,725.00",10/01/13,10,October,2013,
Small Business,Canada,VTT,None,2001,US$250.00,US$300.00,"US$600,300.00", US$	-   ,"US$600,300.00","US$500,250.00","US$100,050.00",02/01/14,2,February,2014,
Channel Partners,Germany,VTT,None,2838,US$250.00,US$12.00,"US$34,056.00", US$	-   ,"US$34,056.00","US$8,514.00","US$25,542.00",04/01/14,4,April,2014,
Midmarket,France,VTT,None,2178,US$250.00,US$15.00,"US$32,670.00", US$	-   ,"US$32,670.00","US$21,780.00","US$10,890.00",06/01/14,6,June,2014,
Midmarket,Germany,VTT,None,888,US$250.00,US$15.00,"US$13,320.00", US$	-   ,"US$13,320.00","US$8,880.00","US$4,440.00",06/01/14,6,June,2014,
Government,France,VTT,None,1527,US$250.00,US$350.00,"US$534,450.00", US$	-   ,"US$534,450.00","US$397,020.00","US$137,430.00",09/01/13,9,September,2013,
Small Business,France,VTT,None,2151,US$250.00,US$300.00,"US$645,300.00", US$	-   ,"US$645,300.00","US$537,750.00","US$107,550.00",09/01/14,9,September,2014,
Government,Canada,VTT,None,1817,US$250.00,US$20.00,"US$36,340.00", US$	-   ,"US$36,340.00","US$18,170.00","US$18,170.00",12/01/14,12,December,2014,
Government,France,Amarilla,None,2750,US$260.00,US$350.00,"US$962,500.00", US$	-   ,"US$962,500.00","US$715,000.00","US$247,500.00",02/01/14,2,February,2014,
Channel Partners,United States of America,Amarilla,None,1953,US$260.00,US$12.00,"US$23,436.00", US$	-   ,"US$23,436.00","US$5,859.00","US$17,577.00",04/01/14,4,April,2014,
Enterprise,Germany,Amarilla,None,4219.5,US$260.00,US$125.00,"US$527,437.50", US$	-   ,"US$527,437.50","US$506,340.00","US$21,097.50",04/01/14,4,April,2014,
Government,France,Amarilla,None,1899,US$260.00,US$20.00,"US$37,980.00", US$	-   ,"US$37,980.00","US$18,990.00","US$18,990.00",06/01/14,6,June,2014,
Government,Germany,Amarilla,None,1686,US$260.00,US$7.00,"US$11,802.00", US$	-   ,"US$11,802.00","US$8,430.00","US$3,372.00",07/01/14,7,July,2014,
Channel Partners,United States of America,Amarilla,None,2141,US$260.00,US$12.00,"US$25,692.00", US$	-   ,"US$25,692.00","US$6,423.00","US$19,269.00",08/01/14,8,August,2014,
Government,United States of America,Amarilla,None,1143,US$260.00,US$7.00,"US$8,001.00", US$	-   ,"US$8,001.00","US$5,715.00","US$2,286.00",10/01/14,10,October,2014,
Midmarket,United States of America,Amarilla,None,615,US$260.00,US$15.00,"US$9,225.00", US$	-   ,"US$9,225.00","US$6,150.00","US$3,075.00",12/01/14,12,December,2014,
Government,France,Paseo,Low,3945,US$10.00,US$7.00,"US$27,615.00",US$276.15,"US$27,338.85","US$19,725.00","US$7,613.85",01/01/14,1,January,2014,
Midmarket,France,Paseo,Low,2296,US$10.00,US$15.00,"US$34,440.00",US$344.40,"US$34,095.60","US$22,960.00","US$11,135.60",02/01/14,2,February,2014,
Government,France,Paseo,Low,1030,US$10.00,US$7.00,"US$7,210.00",US$72.10,"US$7,137.90","US$5,150.00","US$1,987.90",05/01/14,5,May,2014,
Government,France,Velo,Low,639,US$120.00,US$7.00,"US$4,473.00",US$44.73,"US$4,428.27","US$3,195.00","US$1,233.27",11/01/14,11,November,2014,
Government,Canada,VTT,Low,1326,US$250.00,US$7.00,"US$9,282.00",US$92.82,"US$9,189.18","US$6,630.00","US$2,559.18",03/01/14,3,March,2014,
Channel Partners,United States of America,Carretera,Low,1858,US$3.00,US$12.00,"US$22,296.00",US$222.96,"US$22,073.04","US$5,574.00","US$16,499.04",02/01/14,2,February,2014,
Government,Mexico,Carretera,Low,1210,US$3.00,US$350.00,"US$423,500.00","US$4,235.00","US$419,265.00","US$314,600.00","US$104,665.00",03/01/14,3,March,2014,
Government,United States of America,Carretera,Low,2529,US$3.00,US$7.00,"US$17,703.00",US$177.03,"US$17,525.97","US$12,645.00","US$4,880.97",07/01/14,7,July,2014,
Channel Partners,Canada,Carretera,Low,1445,US$3.00,US$12.00,"US$17,340.00",US$173.40,"US$17,166.60","US$4,335.00","US$12,831.60",09/01/14,9,September,2014,
Enterprise,United States of America,Carretera,Low,330,US$3.00,US$125.00,"US$41,250.00",US$412.50,"US$40,837.50","US$39,600.00","US$1,237.50",09/01/13,9,September,2013,
Channel Partners,France,Carretera,Low,2671,US$3.00,US$12.00,"US$32,052.00",US$320.52,"US$31,731.48","US$8,013.00","US$23,718.48",09/01/14,9,September,2014,
Channel Partners,Germany,Carretera,Low,766,US$3.00,US$12.00,"US$9,192.00",US$91.92,"US$9,100.08","US$2,298.00","US$6,802.08",10/01/13,10,October,2013,
Small Business,Mexico,Carretera,Low,494,US$3.00,US$300.00,"US$148,200.00","US$1,482.00","US$146,718.00","US$123,500.00","US$23,218.00",10/01/13,10,October,2013,
Government,Mexico,Carretera,Low,1397,US$3.00,US$350.00,"US$488,950.00","US$4,889.50","US$484,060.50","US$363,220.00","US$120,840.50",10/01/14,10,October,2014,
Government,France,Carretera,Low,2155,US$3.00,US$350.00,"US$754,250.00","US$7,542.50","US$746,707.50","US$560,300.00","US$186,407.50",12/01/14,12,December,2014,
Midmarket,Mexico,Montana,Low,2214,US$5.00,US$15.00,"US$33,210.00",US$332.10,"US$32,877.90","US$22,140.00","US$10,737.90",03/01/14,3,March,2014,
Small Business,United States of America,Montana,Low,2301,US$5.00,US$300.00,"US$690,300.00","US$6,903.00","US$683,397.00","US$575,250.00","US$108,147.00",04/01/14,4,April,2014,
Government,France,Montana,Low,1375.5,US$5.00,US$20.00,"US$27,510.00",US$275.10,"US$27,234.90","US$13,755.00","US$13,479.90",07/01/14,7,July,2014,
Government,Canada,Montana,Low,1830,US$5.00,US$7.00,"US$12,810.00",US$128.10,"US$12,681.90","US$9,150.00","US$3,531.90",08/01/14,8,August,2014,
Small Business,United States of America,Montana,Low,2498,US$5.00,US$300.00,"US$749,400.00","US$7,494.00","US$741,906.00","US$624,500.00","US$117,406.00",09/01/13,9,September,2013,
